部署脚本	bkhelmfile	部署脚本
制品库	bkrepo	chart
API 网关	bk-apigateway	chart
认证服务	bkauth	chart
应用凭据管理	bkssm	chart
用户管理	bk-user	chart
蓝鲸桌面	bk-console	chart
权限中心	bkiam	chart
权限中心	bkiam-saas	chart
权限中心	bkiam-search-engine	chart
管控平台	bk-gse-ce	chart
管控平台	gse_agent	安装包
管控平台	gse_proxy	安装包
PaaS平台3.0	bkpaas3	chart
PaaS平台3.0	bkpaas-app-operator	chart
PaaS平台3.0	bkapp-log-collection	chart
PaaS平台3.0	bk-ingress-nginx	chart
配置平台	bk-cmdb	chart
作业平台	bk-job	chart
节点管理	bk-nodeman	chart
标准运维	bk_sops	SaaS
流程服务	bk_itsm	SaaS
容器管理平台	bcs-services-stack	chart
监控平台	bk-monitor	chart
监控平台	bkmonitor-operator-stack	chart
监控平台	bkmonitorbeat	采集器
监控平台	bk-collector	采集器
日志平台	bk-log-search	chart
日志平台	bk-log-collector	chart
日志平台	bkunifylogbeat	采集器
持续集成平台	bk-ci	chart
代码分析	bk-codecc	chart
API自动化测试	bk-apicheck	chart
运维开发平台	bk_lesscode	SaaS
